No;Kode;Mentah;"Sumber
TKPI 2019";Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;"Kalsium
Ca";"Fosfor
P";"Besi
Fe";"Natrium
Na";"Kalium
Ka";"Tembaga
Cu";"Seng
Zn";"Retino
Vit A";B-Kar;"Karoten
Total";"Thiamin
Vit. B1";"Ribovlavin
Vit. B2";Niasin;Vitamin C;BDD;Kelompok Makanan;Regulasi;;;;;;;;
;;;;(g);(kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;;;;;;;
286;CP042;Olahan;Keripik tempe abadi murni;3,2;542;40,3;42,4;11,6;2,2;2,7;175;529;5,2;-;-;-;-;-;-;50;0,1;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
287;CP043;Olahan;Keripik tempe abadi sedang;4,4;510;12,3;27,9;52,4;3,6;3,1;122;211;8,4;-;-;-;-;-;-;-;0,52;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
288;CP044;Olahan;Keripik tempe abadi telur;4,5;529;20,8;31,7;40,2;3;2,9;124;222;5,4;-;-;-;-;-;-;-;0,86;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
289;CP045;Olahan;Keripik tempe abadi prima;4,8;540;16,7;33,9;42;2,2;2,6;92;184;3,2;-;-;-;-;-;-;1.080;0,38;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
290;CP046;Olahan;Kwaci;9,9;515;30,6;42,1;13,8;13,6;3,7;54;312;6,2;124;448,6;0,65;9,7;-;-;-;0,02;0,19;0,3;-;35;Kacang;DABM-1964;;;;;;;;
291;CP047;Olahan;Melinjo emping tebal goreng manis;5,6;439;10;16,4;65,7;-;2,3;66;225;-;-;-;-;-;-;-;-;0,1;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
292;CP048;Olahan;Melinjo emping tebal, goreng asin;8;431;11,1;16,2;63;-;1,6;77;-;-;-;-;-;-;-;-;-;0,08;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
293;CP049;Olahan;Melinjo emping tipis goreng;3,3;485;11,5;24,5;59,1;-;1,5;85;218;-;-;-;-;-;-;-;-;0,11;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
294;CP050;Olahan;Moon tahu;79,9;128;8;10;1,3;0,2;0,8;205;92;2,5;393;-;-;-;131;-;5.300;0,46;-;-;-;100;Kacang;KZGMS-1993;;;;;;;;
295;CP051;Olahan;Oncom;57;187;13;6;22,6;-;1,4;96;115;27;-;-;-;-;-;-;-;0,09;-;1,6;-;100;Kacang;DABM-1964;;;;;;;;
296;CP052;Olahan;Oncom ampas kacang hijau;13,4;376;14,9;6;65,7;12,3;1,7;199;110;10,9;-;-;-;-;-;-;-;0,03;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
297;CP053;Olahan;Oncom kacang hijau + singkong;16,5;351;11;5,3;65,9;9;1,3;164;113;7,8;-;-;-;-;-;-;-;0,01;-;-;-;100;Kacang;KZGPI-1990;;;;;;;;
298;CP054;Olahan;Oncom kacang tanah pepes;65;132;12,7;3,8;13,7;3,1;4,8;133;355;34,4;-;-;-;-;-;-;10;0,08;0,2;0,7;-;100;Kacang;KZGPI-1990;;;;;;;;
