No;Kode;Mentah;Sumber;Air (g);Energi (kal);Protein (g);Lemak (g);Karbohidrat (g);Serat (g);Abu (g);Kalsium (mg);Fosfor (mg);Besi (mg);Natrium (mg);Kalium (mg);Tembaga (mg);Seng (mg);Retinol (mcg);B-Karoten (mcg);Karoten Total (mcg);Thiamin (mg);Riboflavin (mg);Niasin (mg);Vitamin C (mg);BDD (%);Kelompok Makanan;Regulasi
1124;NR001;Tunggal;Asam arang coklat, segar;66.1;130;0.5;1.1;30.9;1.5;1.4;79;113;4.3;13;-;-;-;-;745;-;0.01;0.20;-;-;-;Bumbu;KZGPI-1990
1125;NR002;Tunggal;Asam arang merah, segar;75.9;99;0.8;1.6;20.3;2.8;1.4;69;300;4.6;2;95.7;-;0.1;-;529;-;0.01;0.34;1.6;-;-;Bumbu;KZGPI-1990
1126;NR003;Tunggal;Asam kandis, kering;32.2;261;0.9;1.6;63.3;5.0;2.0;192;657;4.4;26;341.4;0.40;0.3;-;0.2;-;-;-;0.4;-;100;Bumbu;KZGPI-1990
1127;NR004;Tunggal;Asam kandis, segar;81.5;75;0.2;1.1;16.1;3.4;1.1;63;139;2.5;7;93.2;0.10;0.1;-;41;-;0.01;-;0.1;-;-;Bumbu;KZGPI-1990
1128;NR005;Tunggal;Asam masak pohon, segar;31.4;267;2.8;0.6;62.5;1.2;2.7;74;113;0.6;9;139.5;0.09;0.1;-;9;30;0.34;0.04;0.7;2.0;48;Bumbu;DABM-1964
1129;NR006;Tunggal;Asam payak, segar;65.1;135;0.8;0.4;32.1;10.0;1.6;60;39;5.7;0.2;-;-;-;-;-;-;-;-;-;-;-;Bumbu;KZGPI-1990
1130;NR007;Tunggal;Bawang merah, segar;88.0;46;1.5;0.3;9.2;1.7;1.0;36;40;0.8;7;178.6;0.06;0.2;-;2;-;0.03;0.04;0.2;2.0;90;Bumbu;DABM-1964
1131;NR008;Tunggal;Bawang putih, segar;71.0;112;4.5;0.2;23.1;0.6;1.8;42;134;1.0;46;665.7;0.09;0.4;-;-;-;0.22;0.07;0.3;15.0;88;Bumbu;DABM-1964
1132;NR009;Tunggal;Boros kunci, segar;90.0;40;1.0;0.8;7.2;1.0;1.0;50;50;2.0;33;480;0.02;0.3;-;-;5000;0.08;0.68;1.7;50.0;80;Bumbu;DABM-1964
1133;NR010;Tunggal;Boros laja (lengkuas), segar;93.0;26;1.0;0.3;4.7;1.1;1.0;50;50;2.0;24;137.1;0.07;0.3;-;-;5000;0.08;0.06;0.3;50.0;80;Bumbu;DABM-1964
1134;NR011;Tunggal;Cabai gembor merah, segar;90.8;38;1.6;0.8;6.3;1.6;0.6;49;41;1.1;7;275.3;0.12;0.2;-;5;3240;0.21;0.12;-;16.0;89;Bumbu;KZGPI-1990
1135;NR012;Tunggal;Cabai hijau, segar;93.4;26;0.7;0.3;5.2;2.6;0.4;14;23;0.4;7;151;0.08;0.2;5897;44;260;0.05;0.06;0.4;84.0;82;Bumbu;DABM-1964
1136;NR013;Tunggal;Cabai merah, kering;10.0;367;15.9;6.2;61.8;26.9;6.1;160;370;2.3;25;181.5;1.20;1.8;10955;5833;576;0.40;1.36;4.4;50.0;85;Bumbu;DABM-1964
1137;NR014;Tunggal;Cabai merah, segar;90.9;36;1.0;0.3;7.3;1.4;0.5;29;24;0.5;23;272.4;0.12;0.2;1694;470;470;0.05;0.09;3.0;18.0;85;Bumbu;DABM-1964
1138;NR015;Tunggal;Cabai rawit, segar;71.2;120;4.7;2.4;19.9;15.2;1.8;45;85;2.5;34;706.2;0.29;0.6;-;11050;-;0.24;0.09;1.7;70.0;85;Bumbu;DABM-1964
