Code,Foods,Synonyms,energy,water,protein,fat,carbohydr.,dietary fiber,minerals,org. acids,alcohol,Vit. A,retinol,carotene,Vit. D,Vit. E (eq.),Vit. E,Vit. K,Vit. B1,Vit. B2,niacine,niacineequiv.,pantoth. acid,Vit. B6,biotine,folic acid eq.,tot. fol.acid,free fol.acid,Vit. B12,Vit. C,sodium,potassium,calcium,magnesium,phosphorus,sulfur,chlorine,iron,zinc,copper,manganese,fluorine,iodine,mannit,sorbit,xylit
ZIN0248,pisang kele,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0249,pisang kepok,,"      485,000",,"        0,800","        0,200","       31,200","        2,300",,,,"       91,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,050","        0,800",,"        0,230","        0,240",,,"       26,000",,"        0,000","       11,000","        5,000","      465,000","        2,000","       32,000","       28,000",,,"        0,600","        0,100","        0,070","        0,150",,,,,
ZIN0250,pisang kepok bawen / suluh,,"      485,000",,"        0,800","        0,200","       31,200","        2,300",,,,"       91,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,050","        0,800",,"        0,230","        0,240",,,"       26,000",,"        0,000","       11,000","        5,000","      465,000","        2,000","       32,000","       28,000",,,"        0,600","        0,100","        0,070","        0,150",,,,,
ZIN0251,pisang kepok bawen mentah,,"      485,000",,"        0,800","        0,200","       31,200","        2,300",,,,"       91,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,050","        0,800",,"        0,230","        0,240",,,"       26,000",,"        0,000","       11,000","        5,000","      465,000","        2,000","       32,000","       28,000",,,"        0,600","        0,100","        0,070","        0,150",,,,,
ZIN0252,pisang kepok kuning mentah,,"      485,000",,"        0,800","        0,200","       31,200","        2,300",,,,"       91,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,050","        0,800",,"        0,230","        0,240",,,"       26,000",,"        0,000","       11,000","        5,000","      465,000","        2,000","       32,000","       28,000",,,"        0,600","        0,100","        0,070","        0,150",,,,,
ZIN0253,pisang kepok putih mentah,,"      485,000",,"        0,800","        0,200","       31,200","        2,300",,,,"       91,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,050","        0,800",,"        0,230","        0,240",,,"       26,000",,"        0,000","       11,000","        5,000","      465,000","        2,000","       32,000","       28,000",,,"        0,600","        0,100","        0,070","        0,150",,,,,
ZIN0254,pisang klutuk matang,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0255,pisang kreak matang,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0256,pisang mas,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0257,pisang potho,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0258,pisang potho mentah,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0259,pisang prasmen,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0260,pisang prasmen mentah,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0261,pisang pulut,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0262,pisang raja,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0263,pisang raja bandung,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0264,pisang raja bandung mentah,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
ZIN0265,pisang raja kawista matang,,"      385,000",,"        1,000","        0,500","       23,400","        2,400",,,,"        8,000","        0,000",,"        0,000","        0,000",,,"        0,050","        0,100","        0,500",,"        0,260","        0,580",,,"       19,000",,"        0,000","        9,000","        1,000","      396,000","        6,000","       29,000","       20,000",,,"        0,300","        0,200","        0,100","        0,150",,,,,
